"gene"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g275080"	6.42597802772776e-108	0.13839242173216	6.05411515316409e-244	"Scaffold_13"	42455843	42493552	"Q92551"	"IP6K1_HUMAN"	"Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)"	"GO:0000828; GO:0000832; GO:0001650; GO:0005524; GO:0005654; GO:0005829; GO:0032958; GO:0043647; GO:0046854; GO:0052723; GO:0052724; GO:0120163"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol phosphate biosynthetic process [GO:0032958]; inositol phosphate metabolic process [GO:0043647]; negative regulation of cold-induced thermogenesis [GO:0120163]; phosphatidylinositol phosphorylation [GO:0046854]"
"PGEN_.00g165230"	7.16308463251436e-17	0.149076045929011	6.35187090390267e-241	"Scaffold_07"	34059828	34064039	"Q8IWY4"	"SCUB1_HUMAN"	"Signal peptide, CUB and EGF-like domain-containing protein 1"	"GO:0005509; GO:0005615; GO:0005886; GO:0006954; GO:0007512; GO:0007596; GO:0009791; GO:0009897; GO:0009986; GO:0019897; GO:0022617; GO:0042802; GO:0045446; GO:0045880; GO:0046982; GO:0051260"	"cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; adult heart development [GO:0007512]; blood coagulation [GO:0007596]; endothelial cell differentiation [GO:0045446]; extracellular matrix disassembly [GO:0022617]; inflammatory response [GO:0006954]; positive regulation of smoothened signaling pathway [GO:0045880]; post-embryonic development [GO:0009791]; protein homooligomerization [GO:0051260]"
"PGEN_.00g279140"	1.18702470795206e-16	3.37133196551392e-104	1.25359113763762e-90	"Scaffold_14"	6934908	6946622	"P50164"	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"GO:0009710; GO:0050358"	"tropinone reductase activity [GO:0050358]; tropane alkaloid biosynthetic process [GO:0009710]"
"PGEN_.00g279150"	1.57430030514561e-181	1.95491146629936e-13	2.97591289789787e-44	"Scaffold_14"	6951103	6982495	"Q11D10"	"ASSY_CHESB"	"Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)"	"GO:0004055; GO:0005524; GO:0005737; GO:0006526"	"cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]"
"PGEN_.00g198010"	9.63402530249054e-218	5.46259088793741e-250	3.52296354401507e-36	"Scaffold_09"	20195697	20233222	"P05099"	"MATN1_CHICK"	"Cartilage matrix protein (Matrilin-1)"	"GO:0003429; GO:0005201; GO:0005509; GO:0005615; GO:0031012; GO:0062023"	"collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]"
"PGEN_.00g167890"	2.45268185492064e-17	1.93932804459677e-84	8.4071230585641e-36	"Scaffold_07"	41687471	41690284	"Q91755"	"GRIK2_XENLA"	"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Fragment)"	"GO:0005234; GO:0016021; GO:0030054; GO:0038023; GO:0045211"	"cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; extracellularly glutamate-gated ion channel activity [GO:0005234]; signaling receptor activity [GO:0038023]"
"PGEN_.00g302860"	0.101416862114148	3.6842219695043e-38	2.87820864300531e-35	"Scaffold_15"	14475444	14494663	"Q6NT16"	"S18B1_HUMAN"	"MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)"	"GO:0016021; GO:0055085"	"integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]"
"PGEN_.00g295480"	5.6020735441766e-41	0.411194008266707	1.6430604906753e-33	"Scaffold_14"	43606617	43620277	NA	NA	NA	NA	NA
"PGEN_.00g334600"	0.861584186803461	0.692373382415498	1.20621883201014e-25	"Scaffold_17"	22618387	22624139	NA	NA	NA	NA	NA
"PGEN_.00g283380"	0.447130317498207	0.740989177965251	7.92186380855766e-20	"Scaffold_14"	17328982	17400089	"Q9XTQ6"	"TBH1_CAEEL"	"Tyramine beta-hydroxylase (EC 1.14.17.-)"	"GO:0004500; GO:0004836; GO:0005507; GO:0005615; GO:0005737; GO:0006589; GO:0016021; GO:0016715; GO:0030667; GO:0042420; GO:0042421; GO:0045202"	"cytoplasm [GO:0005737]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; secretory granule membrane [GO:0030667]; synapse [GO:0045202]; copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen [GO:0016715]; tyramine-beta hydroxylase activity [GO:0004836]; dopamine catabolic process [GO:0042420]; norepinephrine biosynthetic process [GO:0042421]; octopamine biosynthetic process [GO:0006589]"
