feature,numDMR,numRegion,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj,comparison
put.3primeUTR,22,2788,0.0595255887439418,0.119565217391304,11.7581254823401,0.000605782031391038,1,-0.106968854726966,-0.013110402567759,2-sample test for equality of proportions without continuity correction,two.sided,0.00424047421973727,time
exon,31,5484,0.1170869184619,0.168478260869565,4.67543775775194,0.0305969039111218,1,-0.105551073906037,0.00276838909070633,2-sample test for equality of proportions without continuity correction,two.sided,0.0878629177823179,time
intergenic,41,12433,0.265452526848432,0.222826086956522,1.70860156218461,0.191166911222102,1,-0.0176350276208584,0.102887907404679,2-sample test for equality of proportions without continuity correction,two.sided,0.334542094638679,time
intron,25,9222,0.196895616713282,0.135869565217391,4.32051445718009,0.0376555361924219,1,0.0113855896093381,0.110666513382444,2-sample test for equality of proportions without continuity correction,two.sided,0.0878629177823179,time
put.promoter,8,1864,0.0397975959177573,0.0434782608695652,0.0649527204283871,0.79883259416909,1,-0.0331999019246579,0.0258385720210421,2-sample test for equality of proportions without continuity correction,two.sided,0.931971359863938,time
repeat.reagion,56,14282,0.304929863142387,0.304347826086957,0.00029294732307216,0.986344310775323,1,-0.0660330597174327,0.0671971338282945,2-sample test for equality of proportions without continuity correction,two.sided,0.986344310775323,time
tRNA,1,764,0.0163118901722997,0.00543478260869565,1.35486520965516,0.244429371781134,1,0.00019235100930692,0.0215618641179011,2-sample test for equality of proportions without continuity correction,two.sided,0.342201120493588,time
put.3primeUTR,12,7064,0.0523720909542486,0.114285714285714,8.09671630529734,0.00443455258103902,1,-0.122780231768295,-0.00104701489463627,2-sample test for equality of proportions without continuity correction,two.sided,0.0310418680672731,day_10
exon,9,14523,0.107672689259421,0.0857142857142857,0.526603465779115,0.4680383437857,1,-0.0316124000898835,0.0755292071801546,2-sample test for equality of proportions without continuity correction,two.sided,0.820639149171534,day_10
intergenic,27,36964,0.274048976505216,0.257142857142857,0.150735892577995,0.697833102672891,1,-0.0667252695853045,0.100537508310022,2-sample test for equality of proportions without continuity correction,two.sided,0.946555330398522,day_10
intron,14,26094,0.193459419784847,0.133333333333333,2.43131337761301,0.118933213990625,1,-0.00492836068571666,0.125180533588745,2-sample test for equality of proportions without continuity correction,two.sided,0.416266248967186,day_10
put.promoter,4,4972,0.0368621229083414,0.0380952380952381,0.00449344021135202,0.946555330398522,1,-0.037861565305038,0.0353953349312446,2-sample test for equality of proportions without continuity correction,two.sided,0.946555330398522,day_10
repeat.reagion,37,43083,0.319414891645228,0.352380952380952,0.524480510011583,0.468936656669448,1,-0.124373265418029,0.0584411439465801,2-sample test for equality of proportions without continuity correction,two.sided,0.820639149171534,day_10
tRNA,2,2181,0.0161698089426976,0.019047619047619,0.0546124234942393,0.81522331378092,1,-0.0290320213764362,0.0232764011665934,2-sample test for equality of proportions without continuity correction,two.sided,0.946555330398522,day_10
put.3primeUTR,3,3106,0.0610996360775057,0.0612244897959184,1.33021455745533e-05,0.997089953378646,1,-0.0672835603183389,0.0670338528815134,2-sample test for equality of proportions without continuity correction,two.sided,0.997089953378646,day_135
exon,5,5952,0.117084685748008,0.102040816326531,0.107182588825686,0.743374803784378,1,-0.0697571995182091,0.0998449383611644,2-sample test for equality of proportions without continuity correction,two.sided,0.867270604415108,day_135
intergenic,15,13746,0.270404249041015,0.306122448979592,0.316538266475563,0.573695484768686,1,-0.164820320594835,0.0933839207176818,2-sample test for equality of proportions without continuity correction,two.sided,0.867270604415108,day_135
intron,7,9909,0.194924756565359,0.142857142857143,0.845851685844721,0.357728530786041,1,-0.045970674178464,0.150105901594895,2-sample test for equality of proportions without continuity correction,two.sided,0.867270604415108,day_135
put.promoter,3,2084,0.0409953772007475,0.0612244897959184,0.509305356066113,0.475439716824409,1,-0.0873776625020454,0.0469194373117037,2-sample test for equality of proportions without continuity correction,two.sided,0.867270604415108,day_135
repeat.reagion,16,15328,0.301524540179011,0.326530612244898,0.145336633255114,0.703032278440684,1,-0.156368539093509,0.106356394961734,2-sample test for equality of proportions without continuity correction,two.sided,0.867270604415108,day_135
tRNA,0,710,0.0139667551883545,0,0.694055370893436,0.404788414519334,1,0.0129466141556665,0.0149868962210425,2-sample test for equality of proportions without continuity correction,two.sided,0.867270604415108,day_135
put.3primeUTR,15,1854,0.0649614576033637,0.170454545454545,15.9991340700676,6.337146223076e-05,1,-0.18411046892187,-0.0268757067804934,2-sample test for equality of proportions without continuity correction,two.sided,0.00044360023561532,day_145
exon,20,3451,0.120918009810792,0.227272727272727,9.3138170401082,0.0022743217209727,1,-0.193993919705622,-0.0187155152182488,2-sample test for equality of proportions without continuity correction,two.sided,0.00796012602340446,day_145
intergenic,16,7974,0.279397337070778,0.181818181818182,4.15171344241382,0.0415924159712976,1,0.0168269082453441,0.178331402259848,2-sample test for equality of proportions without continuity correction,two.sided,0.0970489705996944,day_145
intron,10,5435,0.190434477925718,0.113636363636364,3.35939632702499,0.0668225598116312,1,0.0103329929055915,0.143263235673118,2-sample test for equality of proportions without continuity correction,two.sided,0.116939479670355,day_145
put.promoter,6,1308,0.0458304134548003,0.0681818181818182,1.00082149517325,0.317111811694627,1,-0.0750703847315471,0.0303675752775113,2-sample test for equality of proportions without continuity correction,two.sided,0.317111811694627,day_145
repeat.reagion,21,8192,0.287035739313245,0.238636363636364,1.00451392491681,0.316220729770693,1,-0.0408127680554844,0.137611519409246,2-sample test for equality of proportions without continuity correction,two.sided,0.317111811694627,day_145
tRNA,0,326,0.0114225648213034,0,1.01676405702693,0.313287815550148,1,0.0101897204153539,0.012655409227253,2-sample test for equality of proportions without continuity correction,two.sided,0.317111811694627,day_145
