"","gene","GO.Slim.Term","adj.pval.treatment","scaffold","start","end","uniprot.id","uniprot_taxa.id","Uniprot.Name","GO.IDs","GO.Descript"
"1","PGEN_.00g005660","cytoskeletal activity",0.00193871303220277,"Scaffold_01",14272638,14385002,"Q91ZU6","DYST_MOUSE","Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)","GO:0001725; GO:0003779; GO:0005509; GO:0005634; GO:0005635; GO:0005737; GO:0005789; GO:0005882; GO:0005925; GO:0005938; GO:0007155; GO:0007409; GO:0008017; GO:0008090; GO:0009898; GO:0014069; GO:0014704; GO:0015629; GO:0015630; GO:0016020; GO:0016021; GO:0030018; GO:0030056; GO:0030424; GO:0031110; GO:0031122; GO:0031410; GO:0031581; GO:0031673; GO:0035371; GO:0042060; GO:0042383; GO:0042803; GO:0045104; GO:0046907; GO:0048471; GO:0051010; GO:0060053; GO:0097038; GO:1904115","actin cytoskeleton [GO:0015629]; axon [GO:0030424]; axon cytoplasm [GO:1904115]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum membrane [GO:0005789]; focal adhesion [GO:0005925]; H zone [GO:0031673]; hemidesmosome [GO:0030056]; integral component of membrane [GO:0016021]; intercalated disc [GO:0014704]; intermediate filament [GO:0005882]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; microtubule plus-end [GO:0035371]; neurofilament cytoskeleton [GO:0060053]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; sarcolemma [GO:0042383]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]; protein homodimerization activity [GO:0042803]; axonogenesis [GO:0007409]; cell adhesion [GO:0007155]; cytoplasmic microtubule organization [GO:0031122]; hemidesmosome assembly [GO:0031581]; intermediate filament cytoskeleton organization [GO:0045104]; intracellular transport [GO:0046907]; regulation of microtubule polymerization or depolymerization [GO:0031110]; retrograde axonal transport [GO:0008090]; wound healing [GO:0042060]"
"2","PGEN_.00g013900","cytoskeletal activity",7.01528658880582e-08,"Scaffold_01",35824608,35872288,"Q80TN7","NAV3_MOUSE","Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1)","GO:0005524; GO:0005634; GO:0005635; GO:0005640; GO:0007026; GO:0007399; GO:0008017; GO:0022008; GO:0030336; GO:0031116; GO:0032703; GO:1905929","nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; nucleus [GO:0005634]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; negative regulation of cell migration [GO:0030336]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of microtubule depolymerization [GO:0007026]; nervous system development [GO:0007399]; neurogenesis [GO:0022008]; positive regulation of invadopodium disassembly [GO:1905929]; positive regulation of microtubule polymerization [GO:0031116]"
"3","PGEN_.00g014630","cytoskeletal activity",0.034160026851891,"Scaffold_01",38059667,38113107,"Q6ZPV2","INO80_MOUSE","Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80)","GO:0000070; GO:0000724; GO:0003677; GO:0003779; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005819; GO:0005874; GO:0005886; GO:0006281; GO:0006302; GO:0006338; GO:0006351; GO:0008094; GO:0010571; GO:0016604; GO:0016887; GO:0030307; GO:0031011; GO:0034644; GO:0042393; GO:0042766; GO:0043014; GO:0043044; GO:0043618; GO:0045944; GO:0051225; GO:0051301; GO:0070914; GO:0071479; GO:2000045","cytoplasm [GO:0005737]; Ino80 complex [GO:0031011]; microtubule [GO:0005874]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; spindle [GO:0005819]; actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; histone binding [GO:0042393]; ATP-dependent chromatin remodeling [GO:0043044]; cell division [GO:0051301]; cellular response to ionizing radiation [GO:0071479]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; double-strand break repair via homologous recombination [GO:0000724]; mitotic sister chromatid segregation [GO:0000070]; nucleosome mobilization [GO:0042766]; positive regulation of cell growth [GO:0030307]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; spindle assembly [GO:0051225]; transcription, DNA-templated [GO:0006351]; UV-damage excision repair [GO:0070914]"
"4","PGEN_.00g017860","cytoskeletal activity",0.0320715779321826,"Scaffold_01",48136795,48272553,"Q9C0G6","DYH6_HUMAN","Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)","GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959","cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule-based movement [GO:0007018]"
"5","PGEN_.00g028280","cytoskeletal activity",0.0432844767781971,"Scaffold_01",78164630,78265700,"Q9JHU4","DYHC1_MOUSE","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)","GO:0000278; GO:0002177; GO:0003341; GO:0005524; GO:0005623; GO:0005635; GO:0005737; GO:0005813; GO:0005868; GO:0005874; GO:0005881; GO:0005938; GO:0007018; GO:0007097; GO:0008090; GO:0008569; GO:0030175; GO:0030286; GO:0030424; GO:0031122; GO:0032388; GO:0033962; GO:0034063; GO:0043025; GO:0045505; GO:0051293; GO:0051301; GO:0051959; GO:0060236; GO:0072382; GO:0090235; GO:0120162; GO:1904115; GO:1905832","axon [GO:0030424]; axon cytoplasm [GO:1904115]; cell [GO:0005623]; cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; dynein complex [GO:0030286]; filopodium [GO:0030175]; manchette [GO:0002177]; microtubule [GO:0005874]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; cell division [GO:0051301]; cilium movement [GO:0003341]; cytoplasmic microtubule organization [GO:0031122]; cytoplasmic mRNA processing body assembly [GO:0033962]; establishment of spindle localization [GO:0051293]; microtubule-based movement [GO:0007018]; minus-end-directed vesicle transport along microtubule [GO:0072382]; mitotic cell cycle [GO:0000278]; nuclear migration [GO:0007097]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of intracellular transport [GO:0032388]; positive regulation of spindle assembly [GO:1905832]; regulation of metaphase plate congression [GO:0090235]; regulation of mitotic spindle organization [GO:0060236]; retrograde axonal transport [GO:0008090]; stress granule assembly [GO:0034063]"
"6","PGEN_.00g043360","cytoskeletal activity",0.00026872587429312,"Scaffold_02",28694545,28729634,"A1ZA47","ZASP_DROME","PDZ and LIM domain protein Zasp (Z band alternatively spliced PDZ-motif protein)","GO:0001725; GO:0001952; GO:0003779; GO:0005913; GO:0005915; GO:0005925; GO:0005927; GO:0015629; GO:0016323; GO:0030018; GO:0030036; GO:0030239; GO:0031252; GO:0031941; GO:0042805; GO:0045177; GO:0045178; GO:0046872; GO:0051371; GO:0061061","actin cytoskeleton [GO:0015629]; apical part of cell [GO:0045177]; basal part of cell [GO:0045178]; basolateral plasma membrane [GO:0016323]; cell leading edge [GO:0031252]; cell-cell adherens junction [GO:0005913]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; muscle tendon junction [GO:0005927]; stress fiber [GO:0001725]; Z disc [GO:0030018]; zonula adherens [GO:0005915]; actin binding [GO:0003779]; actinin binding [GO:0042805]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; actin cytoskeleton organization [GO:0030036]; muscle structure development [GO:0061061]; myofibril assembly [GO:0030239]; regulation of cell-matrix adhesion [GO:0001952]"
"7","PGEN_.00g049510","cytoskeletal activity",0.00046221698864548,"Scaffold_02",45350315,45373894,"Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)","GO:0001837; GO:0005737; GO:0005886; GO:0005913; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609","cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; beta-catenin binding [GO:0008013]; cytoskeletal protein binding [GO:0008092]; receptor signaling complex adaptor activity [GO:0030159]; apical protein localization [GO:0045176]; cell-cell adhesion [GO:0098609]; epithelial to mesenchymal transition [GO:0001837]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular signal transduction [GO:0035556]; maintenance of cell polarity [GO:0030011]; metanephric collecting duct development [GO:0072205]; midbrain development [GO:0030901]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hippo signaling [GO:0035331]; negative regulation of T cell proliferation [GO:0042130]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of hippo signaling [GO:0035332]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of synapse assembly [GO:0051965]; protein localization to adherens junction [GO:0071896]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]; zonula adherens assembly [GO:0045186]"
"8","PGEN_.00g050270","cytoskeletal activity",0.0131993181259566,"Scaffold_02",47462804,47517164,"P59759","MRTFB_MOUSE","Myocardin-related transcription factor B (MRTF-B) (MKL/myocardin-like protein 2)","GO:0001701; GO:0001764; GO:0001889; GO:0003007; GO:0003700; GO:0003713; GO:0003779; GO:0005634; GO:0005737; GO:0007507; GO:0007517; GO:0010467; GO:0010468; GO:0030036; GO:0030900; GO:0031175; GO:0045844; GO:0045893; GO:0045944; GO:0048514; GO:0048568; GO:0048738; GO:0051145","cytoplasm [GO:0005737]; nucleus [GO:0005634]; actin binding [GO:0003779]; DNA-binding transcription factor activity [GO:0003700]; transcription coactivator activity [GO:0003713]; actin cytoskeleton organization [GO:0030036]; blood vessel morphogenesis [GO:0048514]; cardiac muscle tissue development [GO:0048738]; embryonic organ development [GO:0048568]; forebrain development [GO:0030900]; gene expression [GO:0010467]; heart development [GO:0007507]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; liver development [GO:0001889]; muscle organ development [GO:0007517]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; positive regulation of striated muscle tissue development [GO:0045844]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of gene expression [GO:0010468]; smooth muscle cell differentiation [GO:0051145]"
"9","PGEN_.00g057650","cytoskeletal activity",0.000376623787655412,"Scaffold_02",68547910,68600615,"Q28205","TBCD_BOVIN","Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D)","GO:0000226; GO:0000278; GO:0005096; GO:0005813; GO:0005829; GO:0005912; GO:0005923; GO:0006457; GO:0007021; GO:0007023; GO:0010812; GO:0016328; GO:0031115; GO:0034333; GO:0048487; GO:0048667; GO:0070830","adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; centrosome [GO:0005813]; cytosol [GO:0005829]; lateral plasma membrane [GO:0016328]; beta-tubulin binding [GO:0048487]; GTPase activator activity [GO:0005096]; adherens junction assembly [GO:0034333]; bicellular tight junction assembly [GO:0070830]; cell morphogenesis involved in neuron differentiation [GO:0048667]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of microtubule polymerization [GO:0031115]; post-chaperonin tubulin folding pathway [GO:0007023]; protein folding [GO:0006457]; tubulin complex assembly [GO:0007021]"
"10","PGEN_.00g066340","cytoskeletal activity",0.000112044076940847,"Scaffold_03",23576108,23642329,"A2ASS6","TITIN_MOUSE","Titin (EC 2.7.11.1) (Connectin)","GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0007507; GO:0007512; GO:0008307; GO:0010628; GO:0010737; GO:0019899; GO:0019901; GO:0021591; GO:0030016; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050714; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0071688; GO:1901897","A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; telethonin binding [GO:0031433]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]"
